what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314105444771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105449815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105456821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105461115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105466797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105470466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105478897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314105484034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314105494149
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1314105497109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105499072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105500123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105500453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105502965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105504916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105508446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105508830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105509885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105518592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105519443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105523737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105524660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105527995
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105530028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105530511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105531541
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1314105531958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1314105537947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105539715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105541633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1314105551214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314105557573
